2022-11-13 22:41:59,707 - project - DEBUG - stations collection dropped sucessfuly
2022-11-13 22:41:59,805 - project - DEBUG - Getting vlille infos from website
2022-11-13 22:42:00,622 - project - DEBUG - Formating vlille to MongoDB format
2022-11-13 22:42:00,791 - project - INFO - Start fetching the update of vlilles
2022-11-13 22:42:00,791 - project - DEBUG - Getting vlille infos from website
2022-11-13 22:42:01,251 - project - INFO - Updating databse : 260 elements to update...
2022-11-13 22:42:05,954 - project - DEBUG - Element 99/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 74
2022-11-13 22:42:05,996 - project - DEBUG - Element 100/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 260
2022-11-13 22:42:06,035 - project - DEBUG - Element 101/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 208
2022-11-13 22:42:06,094 - project - DEBUG - Element 102/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 209
2022-11-13 22:42:06,141 - project - DEBUG - Element 103/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 210
2022-11-13 22:42:06,183 - project - DEBUG - Element 104/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 211
2022-11-13 22:42:06,240 - project - DEBUG - Element 105/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 226
2022-11-13 22:42:06,291 - project - DEBUG - Element 106/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 237
2022-11-13 22:42:06,323 - project - DEBUG - Element 107/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 309
2022-11-13 22:42:06,365 - project - DEBUG - Element 108/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 310
2022-11-13 22:42:06,406 - project - DEBUG - Element 109/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 274
2022-11-13 22:42:06,447 - project - DEBUG - Element 110/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 135
2022-11-13 22:42:06,487 - project - DEBUG - Element 111/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 220
2022-11-13 22:42:06,528 - project - DEBUG - Element 112/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 206
2022-11-13 22:42:06,568 - project - DEBUG - Element 113/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 24
2022-11-13 22:42:06,609 - project - DEBUG - Element 114/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 66
2022-11-13 22:42:06,650 - project - DEBUG - Element 115/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 212
2022-11-13 22:42:06,699 - project - DEBUG - Element 116/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 103
2022-11-13 22:42:06,739 - project - DEBUG - Element 117/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 19
2022-11-13 22:42:06,779 - project - DEBUG - Element 118/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 214
2022-11-13 22:42:06,820 - project - DEBUG - Element 119/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 275
2022-11-13 22:42:06,861 - project - DEBUG - Element 120/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 196
2022-11-13 22:42:06,909 - project - DEBUG - Element 121/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 198
2022-11-13 22:42:06,951 - project - DEBUG - Element 122/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 199
2022-11-13 22:42:07,008 - project - DEBUG - Element 123/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 131
2022-11-13 22:42:07,049 - project - DEBUG - Element 124/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 148
2022-11-13 22:42:07,083 - project - DEBUG - Element 125/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 305
2022-11-13 22:42:07,129 - project - DEBUG - Element 126/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 67
2022-11-13 22:42:07,171 - project - DEBUG - Element 127/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 227
